,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82
1,,337,578,978,602,491,550,1001,879,902,785,631,741,688,647,856,1093,590,582,761,537,1183,494,676,807,690,216,716,780,907,196,618,70,951,909,1012,696,335,1159,376,840,357,675,396,889,197,549,858,741,287,207,707,911,803,753,714,866,428,1081,492,832,630,354,690,900,489,764,268,801,292,485,628,718,783,1037,1076,905,714,251,89,734
2,337,,916,637,623,732,887,705,1217,1240,1032,337,400,920,984,1104,1383,762,697,1098,196,1415,283,546,511,952,151,698,677,653,316,956,407,1182,1247,716,868,414,1391,549,1072,695,1012,186,1227,162,294,1196,445,497,544,728,760,1035,752,374,877,410,1313,513,770,419,111,1027,559,613,996,573,674,630,658,287,464,1014,741,736,1137,945,210,244,966
3,578,916,,1320,595,255,287,1224,340,324,207,1087,1278,417,166,278,515,398,504,221,1098,682,949,955,1140,140,794,865,1027,1486,774,167,571,450,331,1342,504,513,659,425,340,226,97,852,311,772,1127,348,1196,434,461,823,1076,302,676,1285,674,706,581,645,997,1078,933,112,1412,479,483,358,1079,339,338,1197,1297,517,1361,1464,346,448,830,667,371
4,978,637,1320,,740,1055,1424,364,1624,1579,1361,359,237,1146,1391,1417,1696,985,830,1505,441,1641,499,370,182,1298,762,542,380,428,956,1363,1048,1409,1651,214,990,816,1617,940,1298,1111,1377,593,1631,815,518,1632,246,888,937,584,429,1261,731,333,891,618,1539,674,474,418,618,1432,233,841,1205,964,304,1112,985,370,429,1171,305,144,1363,1106,817,885,1192
5,602,623,595,740,,330,822,679,935,844,626,641,832,411,761,682,962,245,91,816,703,906,535,375,560,573,576,320,436,1168,673,723,635,674,926,762,255,341,883,312,563,509,652,457,906,500,798,943,751,355,435,278,531,526,131,890,256,221,805,112,452,498,706,707,972,199,471,420,457,621,260,803,996,436,781,884,628,371,639,602,458
6,491,732,255,1055,330,,542,960,595,536,314,887,1078,190,421,385,665,131,240,476,898,685,749,690,876,233,647,601,763,1376,688,383,485,453,586,1078,237,315,662,183,342,259,312,652,566,572,980,604,997,275,337,558,811,305,412,1085,407,442,584,380,733,813,786,367,1212,214,266,224,815,370,74,998,1150,285,1097,1199,407,216,711,581,237
7,550,887,287,1424,822,542,,1430,345,505,472,1188,1291,682,121,543,693,685,732,226,1087,922,1051,1059,1244,421,766,1092,1163,1457,746,131,469,715,447,1447,790,615,924,568,605,271,361,953,427,747,1099,309,1298,536,541,1050,1303,567,903,1265,961,811,846,872,1224,1182,905,290,1450,681,748,460,1183,376,562,1178,1268,804,1465,1568,610,735,801,639,636
8,1001,705,1224,364,679,960,1430,,1564,1454,1236,371,545,1021,1390,1292,1571,881,720,1445,509,1516,511,376,194,1202,846,359,312,753,980,1352,1072,1284,1555,203,844,822,1492,941,1173,1117,1281,605,1535,827,604,1572,464,894,943,402,148,1136,548,640,709,624,1414,616,227,424,686,1336,558,828,1057,970,310,1118,889,563,737,1024,117,336,1238,956,885,909,1067
9,879,1217,340,1624,935,595,345,1564,,291,525,1388,1579,735,286,441,448,737,844,124,1399,667,1250,1259,1444,474,1096,1205,1367,1787,1075,288,814,681,128,1646,843,814,682,765,569,527,414,1153,152,1073,1428,98,1497,735,762,1162,1416,620,1016,1586,1014,1010,617,984,1337,1382,1234,272,1713,818,801,659,1383,640,678,1499,1598,856,1665,1768,507,787,1131,969,688
10,902,1240,324,1579,844,536,505,1454,291,,257,1411,1602,433,393,152,192,666,785,285,1422,419,1273,1214,1399,303,1118,1095,1257,1810,1098,395,895,393,175,1601,680,837,434,706,280,550,227,1176,138,1096,1451,389,1520,758,785,1053,1306,318,906,1609,859,987,369,926,1227,1337,1257,224,1736,760,499,682,1296,663,619,1521,1621,587,1563,1723,218,567,1154,991,387
