"İl düzeyinde işgücü göstergeleri, 2023",,,,,,,,,,,,,,,,,,
"Labour force indicators by province, 2023",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,(%),,,
,,"İşgücüne katılma oranı
Labour force participation rate",,,,,"İstihdam oranı     
Employment rate                 ",,,,,"İşsizlik oranı
Unemployment rate ",,,,,,
"İstatistiki bölge birimleri sınıflaması (3. Düzey)
Statistical regions (Level 3)",,"Oran
Rate",,"%95 Güven aralığı
95% Confidence intervals",,,"Oran
Rate",,"%95 Güven aralığı
95% Confidence intervals",,,"Oran
Rate",,"%95 Güven aralığı
95% Confidence intervals",,,,
,,,,"Alt sınır
Lower limit","Üst sınır
Upper limit",,,,"Alt sınır
Lower limit","Üst sınır
Upper limit",,,,"Alt sınır
Lower limit","Üst sınır
Upper limit",,,
TR,Türkiye,53.3,,53.1,53.5,,48.3,,48.0,48.6,,9.4,,9.2,9.6,,,
TR100,İstanbul,57.0,,56.2,57.7,,51.9,,51.2,52.6,,8.9,,8.4,9.4,,,
TR211,Tekirdağ,60.6,,58.6,62.6,,56.2,,54.1,58.3,,7.3,,6.1,8.5,,,
TR212,Edirne,59.2,,56.2,62.3,,54.8,,51.6,58.0,,7.5,,5.4,9.5,,,
TR213,Kırklareli,54.1,,51.1,57.2,,49.4,,46.4,52.5,,8.7,,7.0,10.4,,,
TR221,Balıkesir,52.2,,50.4,54.1,,49.2,,47.4,51.0,,5.8,,4.9,6.8,,,
TR222,Çanakkale,52.5,,49.9,55.2,,49.1,,46.5,51.6,,6.6,,5.1,8.0,,,
TR310,İzmir,54.1,,52.9,55.2,,47.9,,46.7,49.1,,11.4,,10.5,12.3,,,
TR321,Aydın,52.7,,50.4,55.0,,47.4,,44.9,49.9,,10.1,,8.2,12.0,,,
TR322,Denizli,54.7,,52.6,56.8,,50.3,,48.1,52.5,,8.1,,6.8,9.4,,,
TR323,Muğla,55.4,,53.2,57.6,,52.0,,49.8,54.2,,6.1,,5.0,7.3,,,
