"İl, medeni durum ve cinsiyete göre nüfus, 2022-2023",,,,,,,,,,,,,,,,,,,,
"Population by province, marital status and sex, 2022-2023",,,,,,,,,,,,,,,,,,,,
[15 ve daha yukarı yaştaki nüfus-Population 15 years of age and over],,,,,,,,,,,,,,,,,,,,
"Yıl
Year",İl-Provinces,Toplam-Total,,,,Hiç evlenmedi-Never married,,,,Evli-Married,,,,Boşandı-Divorced,,,,Eşi öldü-Widowed,,
,,"Toplam
Total","Erkek
Male","Kadın
Female",,"Toplam
Total","Erkek
Male","Kadın
Female",,"Toplam
Total","Erkek
Male","Kadın
Female",,"Toplam
Total","Erkek
Male","Kadın
Female",,"Toplam
Total","Erkek
Male","Kadın
Female"
2023,Toplam-Total,67 060 744,33 339 609,33 721 135,,19 231 798,10 911 913,8 319 885,,40 876 455,20 460 478,20 415 977,,3 205 212,1 415 476,1 789 736,,3 747 279, 551 742,3 195 537
,Adana,1 743 190, 864 808, 878 382,, 503 762, 286 689, 217 073,,1 045 322, 521 401, 523 921,, 97 420, 42 815, 54 605,, 96 686, 13 903, 82 783
,Adıyaman, 440 213, 222 292, 217 921,, 134 385, 76 780, 57 605,, 274 998, 137 699, 137 299,, 9 370, 4 088, 5 282,, 21 460, 3 725, 17 735
,Afyonkarahisar, 597 939, 295 915, 302 024,, 143 934, 81 888, 62 046,, 388 885, 195 685, 193 200,, 22 994, 11 478, 11 516,, 42 126, 6 864, 35 262
,Ağrı, 347 738, 182 119, 165 619,, 125 193, 74 649, 50 544,, 204 261, 103 026, 101 235,, 4 157, 2 111, 2 046,, 14 127, 2 333, 11 794
,Amasya, 280 984, 137 991, 142 993,, 65 754, 37 559, 28 195,, 181 740, 91 464, 90 276,, 10 542, 5 207, 5 335,, 22 948, 3 761, 19 187
,Ankara,4 693 594,2 290 827,2 402 767,,1 337 167, 736 117, 601 050,,2 837 059,1 409 194,1 427 865,, 280 714, 114 115, 166 599,, 238 654, 31 401, 207 253
,Antalya,2 159 717,1 080 999,1 078 718,, 592 681, 340 589, 252 092,,1 313 092, 658 809, 654 283,, 154 227, 67 522, 86 705,, 99 717, 14 079, 85 638
,Artvin, 146 062, 72 924, 73 138,, 38 629, 22 074, 16 555,, 90 451, 46 251, 44 200,, 4 445, 2 529, 1 916,, 12 537, 2 070, 10 467
