province_id,latitude,longitude
1,36.9863599,35.3252861
2,37.7602985,38.2772986
3,38.6852729,30.6427411
4,39.719125,43.0504894
5,40.6503248,35.8329148
6,39.9207759,32.8540497
7,36.8865728,30.7030242
8,41.160506,41.8398627
9,37.8483767,27.8435878
10,39.5400798,28.0228793
11,40.1543234,30.1479907
12,38.8861265,40.4972333
13,38.4950867,42.1678372
14,40.6212099,31.6460259
15,37.5183407,30.1691254
16,40.1825734,29.0675039
17,40.0549886,26.9278292
18,40.6667691,33.4526069
19,40.5499106,34.9537344
20,37.8275892,29.2389539
21,37.9162222,40.2363542
22,41.6759327,26.5587225
23,38.5824771,39.396179
24,39.6073429,39.2013209
25,39.90632,41.2727715
26,39.7743941,30.519116
27,37.0628317,37.3792617
28,40.6531617,38.5172032
29,40.2533219,39.384968
30,37.495358,44.1054777
31,36.2025471,36.1602908
32,37.9465412,30.9602093
33,36.7978381,34.6298391
34,41.006381,28.9758715
35,38.4192537,27.128469
36,40.4558435,42.9979531
37,41.3680217,33.7619177
38,38.7219011,35.4873214
39,41.7078046,27.6051334
40,39.3303066,34.1265884
41,40.8216536,29.9507184
42,37.872734,32.4924376
43,39.2522508,29.4937732
44,38.3487153,38.3190674
45,38.8574402,28.0565711
46,37.7830345,36.830655
47,37.3132581,40.7354383
48,37.1642053,28.2624288
49,38.9740786,41.9590433
50,38.5871556,34.7196633
51,38.0664691,34.7051438
52,40.8292569,37.4082764
53,40.9569617,40.884428
54,40.7726291,30.4038575
55,41.2303557,35.9683338
56,37.8646916,42.0510294
57,41.6476377,34.9560137
58,39.4191717,37.1012388
59,41.0731403,27.4102013
60,40.3891816,36.6315075
61,41.0054605,39.7301463
62,39.1060641,39.5482693
63,37.1596239,38.791929
64,38.5768902,29.3729779
65,38.3249599,43.6589825
66,39.7152422,35.170998
67,41.250324,31.8389738
68,38.4326291,33.8976963
69,40.2023027,40.2121599
70,37.1796848,33.3383665
71,39.8410483,33.5058536
72,37.7874104,41.2573924
73,37.548722,42.3618788
74,41.4947715,32.4354255
75,41.0372501,42.7462189
76,39.9218784,44.0467957
77,40.5795422,29.1687005
78,41.1110349,32.6193901
79,36.7797231,37.1416892
80,37.2517882,36.2993502
81,40.8774545,31.2009618
