ID,name,latitude,longitude,F,P,L,E,C,cost
1,Adana,36.9863599,35.3252861,0.1985203859268034,0.4943151944726176,0.5892781752516743,0.5790365112019171,0.04345088161209054,416047676.5315777
2,Adıyaman,37.7602985,38.2772986,0.08636872980516244,0.2950910944400249,0.3147234481316834,0.5381534954678084,0.1555415617128463,158381275.3896001
3,Afyonkarahisar,38.6852729,30.6427411,0.2653435733477988,0.3944915017807307,0.4133168378041532,0.5317525934730651,0.5327455919395465,177534530.8376939
4,Ağrı,39.719125,43.0504894,0.1392951349052138,0.3976727306019023,0.2721912122716412,0.3782436203977095,0.8476070528967254,116945120.0282826
5,Amasya,40.6503248,35.8329148,0.05259703665644617,0.1265964637515876,0.2568570724140903,0.3216889859929947,0.4005037783375315,124617957.8177781
6,Ankara,39.9207759,32.8540497,0.4146412011067863,0.6647476531952845,0.7994392092758941,0.419001386962552,0.4767002518891686,1878627905.190513
7,Antalya,36.8865728,30.7030242,0.1613742918173427,0.3120004081375389,0.6754561502022912,0.5608876560332872,0.07367758186397977,666061142.4048705
8,Artvin,41.160506,41.8398627,0.00474535686211002,0.5491262710199349,0.1472834154083332,0.0,0.4817380352644836,104640638.6228302
9,Aydın,37.8483767,27.8435878,0.0883335586553002,0.1993973683677123,0.4902633216369062,0.6663836760522088,0.132241813602015,253793014.8178786
10,Balıkesir,39.5400798,28.0228793,0.147931719185675,0.2259403220666293,0.5198408288297263,0.6298732886692264,0.3413098236775818,305420611.7479306
11,Bilecik,40.1543234,30.1479907,0.03349571837298534,0.4194646680839049,0.1861302185113421,0.2423389864184431,0.4540302267002518,125497098.5385698
12,Bingöl,38.8861265,40.4972333,0.05106517061223931,0.0,0.1921756325358235,0.4872458880753002,0.493073047858942,109412780.6479242
13,Bitlis,38.4950867,42.1678372,0.1164168969817798,0.3498189453964334,0.2126552251754364,0.4665060707156722,0.7052896725440806,111181638.2623126
14,Bolu,40.6212099,31.6460259,0.05322050036384278,0.1607611538947992,0.2725312935821683,0.2366504854368932,0.5812342569269521,148540194.1937277
15,Burdur,37.5183407,30.1691254,0.08457111214573668,0.2936304648420457,0.2395727061052642,0.5065880721220525,0.4187657430730478,122039878.4169136
16,Bursa,40.1825734,29.0675039,0.1201183641139834,0.244276809057606,0.6942069503197426,0.3027468091170515,0.3280856423173804,723999631.6659127
17,Çanakkale,40.0549886,26.9278292,0.1199413302991084,0.2041735197265111,0.3674647608999318,0.513184496855353,0.287153652392947,185669367.2839025
18,Çankırı,40.6667691,33.4526069,0.08023039149522665,0.2114104815048945,0.1695057276780333,0.3201250240814836,0.5396725440806045,112659721.6790751
19,Çorum,40.5499106,34.9537344,0.1283172474969983,0.3029552917187184,0.3275153297198315,0.3297503467406379,0.5761964735516372,145803106.5570138
20,Denizli,37.8275892,29.2389539,0.1508129637159942,0.2389517221017754,0.4823245996241109,0.542769185897127,0.2065491183879091,248955994.4011208
21,Diyarbakır,37.9162222,40.2363542,0.2914510276271658,0.4624692057830982,0.4897758883240081,0.5473647711511789,0.2682619647355162,253321719.6238594
22,Edirne,41.6759327,26.5587225,0.1718484400569206,0.5081502219480584,0.3316557641484004,0.2295152263703102,0.3753148614609572,146645329.4728337
23,Elazığ,38.5824771,39.396179,0.09162426779241317,0.1132522781781192,0.3414434695118604,0.5009708737864077,0.4193954659949621,161993487.487857
24,Erzincan,39.6073429,39.2013209,0.05292706673499566,0.1890038724648172,0.1830964641393935,0.4053744798890429,0.544080604534005,115779908.7894048
25,Erzurum,39.90632,41.2727715,0.1822787158005478,0.2894385285826432,0.3955670025989508,0.5009708737864077,0.9332493702770781,171524718.9925366
26,Eskişehir,39.7743941,30.519116,0.2886323847820479,0.5540783925867353,0.45215206428706,0.3713032549875124,0.5428211586901763,268152980.3029259
27,Gaziantep,37.0628317,37.3792617,0.1375776987687413,0.5913508522304788,0.5662868911620035,0.5365641575451569,0.2638539042821157,398665881.4403255
28,Giresun,40.6531617,38.5172032,0.008836890121649095,0.524662515714676,0.3428818002756464,0.1363730929264911,0.3198992443324936,133396235.2084829
29,Gümüşhane,40.2533219,39.384968,0.02015531525849431,0.4633442320109872,0.08941739420011678,0.1644590846047157,0.6523929471032746,95092565.27314699
30,Hakkari,37.495358,44.1054777,0.01013555488876677,0.3981950743453846,0.1619577218281646,0.5191747572815533,0.5957178841309824,112405590.1165213
31,Hatay,36.2025471,36.1602908,0.08171747151485505,0.3882298114870436,0.4837658311201716,0.651371139135449,0.09823677581863977,320842908.0146265
32,Isparta,37.9465412,30.9602093,0.09469550834063407,0.4036999605821625,0.3228158458530464,0.5194243156331426,0.4785894206549117,147061146.5395477
33,Mersin,36.7978381,34.6298391,0.1582783003299119,0.4858516160415732,0.573375064911948,0.6157322323740814,0.0,446885351.9783445
34,İstanbul,41.006381,28.9758715,0.0783649406694926,0.4763396873149891,1.0,0.305639331482741,0.3041561712846347,5089801850.0
35,İzmir,38.4192537,27.128469,0.1409095772651185,0.2463146700735558,0.7516825757682108,0.8871359223300972,0.1127204030226699,1065965743.984176
36,Kars,40.4558435,42.9979531,0.160868850125049,0.4439287874444802,0.2216552743766062,0.3569001386962552,0.9250629722921914,111014757.2130122
37,Kastamonu,41.3680217,33.7619177,0.07189358258587623,0.5166891974367476,0.3028815655624537,0.1811026352288488,0.6353904282115868,137805402.2114185
38,Kayseri,38.7219011,35.4873214,0.2752661125860282,0.6849492406912708,0.5133823765904378,0.5598660284064417,0.5755667506297228,317160922.6901772
39,Kırklareli,41.7078046,27.6051334,0.1368101996624524,0.750496603948224,0.2896732558751188,0.3041841269695817,0.399874055415617,156514691.7525713
40,Kırşehir,39.3303066,34.1265884,0.1473388173695538,0.8658935182607571,0.1587771948645193,0.4568386886407614,0.5188916876574307,111998676.9197017
41,Kocaeli,40.8216536,29.9507184,0.0411412459275427,0.3711187617768148,0.616586122792254,0.2455709924320324,0.3041561712846347,738144249.1055733
42,Konya,37.872734,32.4924376,1.0,0.7251426996443676,0.6179868933115987,0.5979314741882497,0.5188916876574307,445451335.1227039
43,Kütahya,39.2522508,29.4937732,0.1411298329290545,0.2889861905203338,0.3643021868897164,0.3378640776699027,0.561712846347607,168925200.2961312
44,Malatya,38.3487153,38.3190674,0.1038339578782777,0.2948114275387774,0.3837148855436547,0.5128908809339446,0.3702770780856423,188484951.7716671
45,Manisa,38.8574402,28.0565711,0.1668325264497054,0.2298957302678557,0.5570243126992753,0.6303721108310423,0.1908060453400502,339585060.7720633
46,Kahramanmaraş,37.7830345,36.830655,0.1308635754893925,0.355996708930289,0.4274717621242657,0.4933755356561954,0.2115869017632241,238922690.6913427
47,Mardin,37.3132581,40.7354383,0.1983224739720321,0.864228414843397,0.366258149664071,0.5473647711511789,0.2216624685138538,169622872.0959383
48,Muğla,37.1642053,28.2624288,0.08467109725152443,0.1627253422400941,0.4943314304452873,0.5884923471244871,0.2991183879093198,298918958.6898677
49,Muş,38.9740786,41.9590433,0.1267114311552926,0.06416416909388745,0.2364644898273068,0.4794382801664354,0.6177581863979849,114229837.2487975
50,Nevşehir,38.5871556,34.7196633,0.1234968435585093,1.0,0.2485287934243902,0.4977461858529818,0.5623425692695213,125368991.6072877
